asin,international_shipping,product_description,image_urls,product_dimensions,item_model_number,shipping_advisory,shipping_weight,images,domestic_shipping
B00U9OE7XS,,The wee wee patch is perfect for indoor and outdoor use. Durable tray features a unique corner spout for easy disposal of liquid waste. Special dual height grass looks and feels realistic. With a built in attractant that helps make training easy. Wee wee patch tray cleaner. Super strength cleanser and odor remover designed for use on the wee wee patch grass mat tray and any other soiled surfaces. Unique enzyme based solution completely eliminates odors caused by urine and feces to help keep the patch smelling clean and freshFeatures. Size - Small. Small for dogs under 15 lbs.. Dimension - 20.06 x 1.38 x 20.19 in.. Item Weight - 2.85 lbs.,http://ecx.images-amazon.com/images/I/51bx4-sZBzL._SY300_QL70_.jpg,,,,4.5 pounds ,"[{'url': 'http://ecx.images-amazon.com/images/I/51bx4-sZBzL._SY300_QL70_.jpg', 'path': 'full/61aacfa131219ea576f40b95de3b56c0a00c55aa.jpg', 'checksum': 'b73f83e4e1927d024d790e71a7328505'}]",
B005BV12XC,This item can be shipped to select countries outside of the U.S.,The Wee-Wee Patch provides a convenient way to train your pet for both indoors and outdoors. The durable tray features a unique pour spout that makes for easy drainage. Dogs prefer to go in an area based on its texture and scent. This realistic dual-height grass with puppy attractant provides a natural feel for your dog. The patch is an ideal training aid for both inside and out. Replacement mats are available.,http://ecx.images-amazon.com/images/I/51R%2BOQJm5vL._SY300_QL70_.jpg,20 x 20 x 1 inches ; 2.5 pounds,100203053,This item must be shipped separately from other items in your order.  Additional shipping charges will not apply.,3 pounds ,"[{'url': 'http://ecx.images-amazon.com/images/I/51R%2BOQJm5vL._SY300_QL70_.jpg', 'path': 'full/52d0efec6be7b0c3344ec0e058a390031b27dce2.jpg', 'checksum': 'd4d98ce4d66ea2957c57f2fdcdc51f66'}]",Item can be shipped within U.S.
B0010B71ZK,This item can be shipped to select countries outside of the U.S.,"The Lean-it Anywhere Scratching Post™ is the only cat scratching post that can be leaned against a wall at any angle and used on any floor surface, be it carpet, vinyl or hardwood! The Lean-it Anywhere Scratching Post™ comes with an attractive carpeted post and stylish end cap. The Lean-it Anywhere Scratching Post™ is sold in both regular and extra wide . The regular size Lean-it Anywhere Scratching Post™ is available in 19” and 25” lengths and the Wide is available in lengths of 20”, 26” and 38”.",http://ecx.images-amazon.com/images/I/414hX8uD%2BGL._SY300_QL70_.jpg,8 x 3.5 x 38 inches ; 4.8 pounds,WLSPL,This item must be shipped separately from other items in your order.  Additional shipping charges will not apply.,5.2 pounds ,"[{'url': 'http://ecx.images-amazon.com/images/I/414hX8uD%2BGL._SY300_QL70_.jpg', 'path': 'full/7489dc33db11c744b81d59070b1abee945adc07a.jpg', 'checksum': 'db85f52fcbd626310af05e22e0482ec1'}]",Item can be shipped within U.S.
